website,loc,lastmod,cured_name,type
www.kevinrchant.com,https://www.kevinrchant.com/2019/04/17/data-platform-professionals-survival-guide-for-a-long-weekend/,2021-06-30,data platform professionals survival guide for a long weekend,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/10/04/whats-the-definition-of-data-platform-for-people-with-a-sql-server-background/,2021-06-30,whats the definition of data platform for people with a sql server background,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/10/02/a-new-beginning/,2021-06-30,a new beginning,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/05/11/t-sql-tuesday-138-how-i-keep-on-top-of-technology-changes/,2021-07-01,t sql tuesday 138 how i keep on top of technology changes,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/04/19/dataweekender-v3-1-schedule-and-other-announcements/,2021-07-03,dataweekender v3 1 schedule and other announcements,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/01/06/recording-sql-server-related-services-in-azure/,2021-07-03,recording sql server related services in azure,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/05/03/gaining-the-azure-data-engineer-associate-microsoft-certification/,2021-08-01,gaining the azure data engineer associate microsoft certification,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/04/23/master-data-services-says-hello-to-html-in-sql-server-2019/,2021-08-07,master data services says hello to html in sql server 2019,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/07/28/azure-test-plans-jargon-for-data-platform-professionals/,2021-08-22,azure test plans jargon for data platform professionals,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/11/06/deploy-sqlwatch-to-sql-server-using-azure-devops/,2021-08-26,deploy sqlwatch to sql server using azure devops,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/07/13/t-sql-tuesday-140-easy-demos-using-containers/,2021-09-02,t sql tuesday 140 easy demos using containers,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/11/30/tips-for-deploying-to-multiple-sql-server-database-types-using-azure-devops/,2021-09-02,tips for deploying to multiple sql server database types using azure devops,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/03/26/running-sql-server-on-linux-on-your-own-laptop/,2021-09-02,running sql server on linux on your own laptop,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/10/29/sql-server-installation-options-to-test-azure-devops-deployments-locally/,2021-09-02,sql server installation options to test azure devops deployments locally,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/08/30/azure-test-plans-example-for-power-bi/,2021-09-06,azure test plans example for power bi,blog
www.kevinrchant.com,https://www.kevinrchant.com/2021/09/06/call-for-speakers-for-dataweekender-v4-2-is-now-open/,2021-09-06,call for speakers for dataweekender v4 2 is now open,blog
